id,MOLA,RMSh,Sub_1_thic,Depth,dist_m,dist_km,xcoord,ycoord
72,-2509,1.559389949,,,35579.83095,35.57983095,157.0150982,9.832242869
73,-2509,1.559389949,,,36029.29146,36.02929146,157.0072855,9.832242869
74,-2507,1.559389949,,,36478.7537,36.4787537,156.9994728,9.832242869
75,-2510,1.559389949,,,36928.21768,36.92821768,156.9916602,9.832242869
76,-2516,1.574262857,,,37377.6834,37.3776834,156.9838475,9.832242869
77,-2521,1.574262857,,,37827.15086,37.82715086,156.9760348,9.832242869
78,-2526,1.574262857,,,38355.97206,38.35597206,156.9682222,9.824430201
79,-2531,1.574262857,,,38805.44331,38.80544331,156.9604095,9.824430201
80,-2535,1.574262857,,,39254.91629,39.25491629,156.9525968,9.824430201
81,-2535,1.574262857,,,39704.39101,39.70439101,156.9447842,9.824430201
82,-2537,1.574262857,,,40153.86746,40.15386746,156.9369715,9.824430201
83,-2535,1.651049495,,,40682.69925,40.68269925,156.9291588,9.816617533
84,-2535,1.651049495,,,41132.17948,41.13217948,156.9213462,9.816617533
85,-2535,1.651049495,,,41581.66145,41.58166145,156.9135335,9.816617533
86,-2536,1.651049495,,,42031.14516,42.03114516,156.9057208,9.816617533
87,-2536,1.651049495,,,42480.63061,42.48063061,156.8979082,9.816617533
88,-2537,1.651049495,,,42930.11779,42.93011779,156.8900955,9.816617533
89,-2537,1.630447745,,,43458.96218,43.45896218,156.8822828,9.808804864
90,-2537,1.630447745,,,43908.45314,43.90845314,156.8744702,9.808804864
91,-2540,1.630447745,,,44357.94583,44.35794583,156.8666575,9.808804864
92,-2542,1.630447745,,,44807.44025,44.80744025,156.8588448,9.808804864
93,-2542,1.630447745,,,45256.93641,45.25693641,156.8510322,9.808804864
94,-2542,1.630447745,,,45706.4343,45.7064343,156.8432195,9.808804864
95,-2543,1.630447745,,,46235.2913,46.2352913,156.8354068,9.800992196
96,-2544,1.630447745,,,46684.79296,46.68479296,156.8275941,9.800992196
97,-2544,1.630447745,,,47163.87208,47.16387208,156.8197815,9.800992196
98,-2544,1.630447745,,,47163.87208,47.16387208,156.8197815,9.800992196
99,-2545,1.630447745,,,47809.91234,47.80991234,156.8119688,9.793179528
100,-2545,1.630447745,,,48455.96009,48.45596009,156.8041561,9.78536686
101,-2546,1.630447745,,,49102.01532,49.10201532,156.7963435,9.777554192
102,-2546,1.630447745,,,49748.07804,49.74807804,156.7885308,9.769741524
103,-2545,1.561835289,,,50394.14824,50.39414824,156.7807181,9.761928855
104,-2547,1.561835289,,,51040.22591,51.04022591,156.7729055,9.754116187
105,-2548,1.561835289,,,51374.64724,51.37464724,156.7650928,9.754116187
106,-2549,1.561835289,,,52020.73623,52.02073623,156.7572801,9.746303519
107,-2550,1.561835289,,,52666.83269,52.66683269,156.7494675,9.738490851
108,-2550,1.561835289,,,53312.9366,53.3129366,156.7416548,9.730678183
109,-2550,1.561835289,,,53959.04795,53.95904795,156.7338421,9.722865515
