id,Elevation,dist_m,dist_km,RMSh,RMSs,pc,pc_pn,pn
62,-2581,38052,38.052,1.550853133,0.722493112,68.26777649,-0.549673557,68.81745148
63,-2583,38697,38.697,1.550853133,0.722493112,68.26777649,-0.549673557,68.81745148
64,-2583,39343,39.343,1.550853133,0.722493112,68.26777649,-0.549673557,68.81745148
65,-2587,39989,39.989,1.550853133,0.722493112,68.26777649,-0.549673557,68.81745148
66,-2584,40634,40.634,1.550853133,0.722493112,68.26777649,-0.549673557,68.81745148
67,-2583,41280,41.28,1.550853133,0.722493112,68.26777649,-0.549673557,68.81745148
68,-2582,41620,41.62,1.550853133,0.722493112,68.26777649,-0.549673557,68.81745148
69,-2579,42265,42.265,1.550853133,0.722493112,68.26777649,-0.549673557,68.81745148
70,-2577,42911,42.911,1.550853133,0.722493112,68.26777649,-0.549673557,68.81745148
71,-2577,43556,43.556,1.550853133,0.722493112,68.26777649,-0.549673557,68.81745148
72,-2578,44202,44.202,1.550853133,0.722493112,68.26777649,-0.549673557,68.81745148
73,-2580,44848,44.848,1.550853133,0.722493112,68.26777649,-0.549673557,68.81745148
74,-2583,45493,45.493,1.661620259,0.871706665,67.35879517,-0.693831742,68.05262756
75,-2583,46139,46.139,1.661620259,0.871706665,67.35879517,-0.693831742,68.05262756
76,-2582,46785,46.785,1.608740449,0.828641832,67.71739197,-0.459007442,68.17639923
77,-2586,47430,47.43,1.608740449,0.828641832,67.71739197,-0.459007442,68.17639923
78,-2586,47770,47.77,1.608740449,0.828641832,67.71739197,-0.459007442,68.17639923
79,-2582,48416,48.416,1.608740449,0.828641832,67.71739197,-0.459007442,68.17639923
80,-2583,49062,49.062,1.608740449,0.828641832,67.71739197,-0.459007442,68.17639923
81,-2583,49707,49.707,1.608740449,0.828641832,67.71739197,-0.459007442,68.17639923
82,-2585,50353,50.353,1.608740449,0.828641832,67.71739197,-0.459007442,68.17639923
83,-2581,50999,50.999,1.608740449,0.828641832,67.71739197,-0.459007442,68.17639923
84,-2581,51645,51.645,1.608740449,0.828641832,67.71739197,-0.459007442,68.17639923
85,-2580,52290,52.29,1.608740449,0.828641832,67.71739197,-0.459007442,68.17639923
86,-2580,52936,52.936,1.608740449,0.828641832,67.71739197,-0.459007442,68.17639923
87,-2582,53582,53.582,1.608740449,0.828641832,67.71739197,-0.459007442,68.17639923
88,-2581,54228,54.228,1.608740449,0.828641832,67.71739197,-0.459007442,68.17639923
89,-2580,54567,54.567,1.720946074,0.985529244,66.78469849,-0.663769841,67.44846344
90,-2583,55213,55.213,1.720946074,0.985529244,66.78469849,-0.663769841,67.44846344
91,-2587,55859,55.859,1.720946074,0.985529244,66.78469849,-0.663769841,67.44846344
92,-2585,56505,56.505,1.720946074,0.985529244,66.78469849,-0.663769841,67.44846344
93,-2587,57151,57.151,1.714517117,0.961524606,66.77722168,-0.853469074,67.6306839
94,-2587,57796,57.796,1.714517117,0.961524606,66.77722168,-0.853469074,67.6306839
95,-2587,58442,58.442,1.714517117,0.961524606,66.77722168,-0.853469074,67.6306839
96,-2587,59088,59.088,1.714517117,0.961524606,66.77722168,-0.853469074,67.6306839
97,-2589,59734,59.734,1.714517117,0.961524606,66.77722168,-0.853469074,67.6306839
98,-2583,60380,60.38,1.714517117,0.961524606,66.77722168,-0.853469074,67.6306839
99,-2577,60720,60.72,1.714517117,0.961524606,66.77722168,-0.853469074,67.6306839
100,-2576,61365,61.365,1.714517117,0.961524606,66.77722168,-0.853469074,67.6306839
101,-2564,62011,62.011,1.714517117,0.961524606,66.77722168,-0.853469074,67.6306839
102,-2558,62657,62.657,1.714517117,0.961524606,66.77722168,-0.853469074,67.6306839
103,-2557,63303,63.303,1.714517117,0.961524606,66.77722168,-0.853469074,67.6306839
104,-2558,63949,63.949,1.727169156,0.948370755,66.73662567,-0.981187642,67.71781158
105,-2563,64595,64.595,1.727169156,0.948370755,66.73662567,-0.981187642,67.71781158
106,-2570,65241,65.241,1.727169156,0.948370755,66.73662567,-0.981187642,67.71781158
107,-2575,65886,65.886,1.727169156,0.948370755,66.73662567,-0.981187642,67.71781158
108,-2587,66532,66.532,1.727169156,0.948370755,66.73662567,-0.981187642,67.71781158
109,-2587,66872,66.872,1.727169156,0.948370755,66.73662567,-0.981187642,67.71781158
110,-2596,67518,67.518,1.712525845,0.986647487,66.9324646,-0.484568149,67.41703796
111,-2598,68164,68.164,1.712525845,0.986647487,66.9324646,-0.484568149,67.41703796
112,-2597,68810,68.81,1.712525845,0.986647487,66.9324646,-0.484568149,67.41703796
113,-2594,69456,69.456,1.712525845,0.986647487,66.9324646,-0.484568149,67.41703796
114,-2589,70102,70.102,1.712525845,0.986647487,66.9324646,-0.484568149,67.41703796
115,-2589,70102,70.102,1.712525845,0.986647487,66.9324646,-0.484568149,67.41703796
116,-2558,70791,70.791,1.712525845,0.986647487,66.9324646,-0.484568149,67.41703796
117,-2525,71165,71.165,1.712525845,0.986647487,66.9324646,-0.484568149,67.41703796
118,-2529,71803,71.803,1.712525845,0.986647487,66.9324646,-0.484568149,67.41703796
119,-2559,72440,72.44,1.712525845,0.986647487,66.9324646,-0.484568149,67.41703796
120,-2569,73078,73.078,1.712525845,0.986647487,66.9324646,-0.484568149,67.41703796
121,-2582,73452,73.452,1.712525845,0.986647487,66.9324646,-0.484568149,67.41703796
122,-2600,74090,74.09,1.70872128,0.946549118,66.92295837,-0.812366843,67.73532867
123,-2607,74727,74.727,1.70872128,0.946549118,66.92295837,-0.812366843,67.73532867
124,-2611,75365,75.365,1.70872128,0.946549118,66.92295837,-0.812366843,67.73532867
125,-2611,75739,75.739,1.70872128,0.946549118,66.92295837,-0.812366843,67.73532867
126,-2613,76377,76.377,1.705023527,0.970319867,66.95996094,-0.639565766,67.59953308
127,-2613,77015,77.015,1.705023527,0.970319867,66.95996094,-0.639565766,67.59953308
128,-2615,77388,77.388,1.705023527,0.970319867,66.95996094,-0.639565766,67.59953308
129,-2616,78026,78.026,1.705023527,0.970319867,66.95996094,-0.639565766,67.59953308
130,-2615,78664,78.664,1.705023527,0.970319867,66.95996094,-0.639565766,67.59953308
131,-2611,79302,79.302,1.705023527,0.970319867,66.95996094,-0.639565766,67.59953308
132,-2613,79675,79.675,1.705023527,0.970319867,66.95996094,-0.639565766,67.59953308
133,-2614,80313,80.313,1.705023527,0.970319867,66.95996094,-0.639565766,67.59953308
134,-2613,80951,80.951,1.705023527,0.970319867,66.95996094,-0.639565766,67.59953308
135,-2614,81589,81.589,1.705023527,0.970319867,66.95996094,-0.639565766,67.59953308
136,-2614,81963,81.963,1.705023527,0.970319867,66.95996094,-0.639565766,67.59953308
137,-2614,82601,82.601,1.705023527,0.970319867,66.95996094,-0.639565766,67.59953308
138,-2614,83238,83.238,1.705023527,0.970319867,66.95996094,-0.639565766,67.59953308
139,-2614,83612,83.612,1.705023527,0.970319867,66.95996094,-0.639565766,67.59953308
140,-2614,84250,84.25,1.705023527,0.970319867,66.95996094,-0.639565766,67.59953308
141,-2614,84888,84.888,1.681636214,1.035732031,67.19884491,0.223655835,66.97518921
142,-2614,85526,85.526,1.697008491,1.017865896,67.05261993,-0.030707927,67.08332825
143,-2613,85900,85.9,1.697008491,1.017865896,67.05261993,-0.030707927,67.08332825
144,-2614,86537,86.537,1.697008491,1.017865896,67.05261993,-0.030707927,67.08332825
145,-2614,87175,87.175,1.697008491,1.017865896,67.05261993,-0.030707927,67.08332825
146,-2613,87813,87.813,1.697008491,1.017865896,67.05261993,-0.030707927,67.08332825
147,-2613,88187,88.187,1.697008491,1.017865896,67.05261993,-0.030707927,67.08332825
148,-2615,88820,88.82,1.697008491,1.017865896,67.05261993,-0.030707927,67.08332825
149,-2615,88820,88.82,1.697008491,1.017865896,67.05261993,-0.030707927,67.08332825
150,-2616,89447,89.447,1.697008491,1.017865896,67.05261993,-0.030707927,67.08332825
151,-2616,89841,89.841,1.697008491,1.017865896,67.05261993,-0.030707927,67.08332825
152,-2617,90467,90.467,1.697008491,1.017865896,67.05261993,-0.030707927,67.08332825
153,-2618,90861,90.861,1.697008491,1.017865896,67.05261993,-0.030707927,67.08332825
154,-2618,91488,91.488,1.697008491,1.017865896,67.05261993,-0.030707927,67.08332825
155,-2618,92114,92.114,1.697008491,1.017865896,67.05261993,-0.030707927,67.08332825
156,-2618,92508,92.508,1.697008491,1.017865896,67.05261993,-0.030707927,67.08332825
157,-2618,93135,93.135,1.697008491,1.017865896,67.05261993,-0.030707927,67.08332825
158,-2618,93529,93.529,1.697008491,1.017865896,67.05261993,-0.030707927,67.08332825
159,-2618,94155,94.155,1.697008491,1.017865896,67.05261993,-0.030707927,67.08332825
160,-2618,94782,94.782,1.727681994,0.96115464,66.75637817,-0.65547967,67.4118576
161,-2618,95176,95.176,1.727681994,0.96115464,66.75637817,-0.65547967,67.4118576
162,-2617,95803,95.803,1.721475244,1.072135806,66.82615662,-0.007885225,66.83404541
163,-2617,96196,96.196,1.721475244,1.072135806,66.82615662,-0.007885225,66.83404541
164,-2616,96823,96.823,1.721475244,1.072135806,66.82615662,-0.007885225,66.83404541
165,-2616,97217,97.217,1.721475244,1.072135806,66.82615662,-0.007885225,66.83404541
166,-2617,97844,97.844,1.721475244,1.072135806,66.82615662,-0.007885225,66.83404541
167,-2619,98470,98.47,1.721475244,1.072135806,66.82615662,-0.007885225,66.83404541
168,-2619,98864,98.864,1.721475244,1.072135806,66.82615662,-0.007885225,66.83404541
169,-2619,99491,99.491,1.721475244,1.072135806,66.82615662,-0.007885225,66.83404541
170,-2619,99885,99.885,1.721475244,1.072135806,66.82615662,-0.007885225,66.83404541
171,-2620,100511,100.511,1.721475244,1.072135806,66.82615662,-0.007885225,66.83404541
172,-2620,101138,101.138,1.721475244,1.072135806,66.82615662,-0.007885225,66.83404541
173,-2621,101532,101.532,1.721475244,1.072135806,66.82615662,-0.007885225,66.83404541
174,-2621,102159,102.159,1.721475244,1.072135806,66.82615662,-0.007885225,66.83404541
175,-2621,102553,102.553,1.711039066,0.958581388,66.93570709,-0.658476472,67.59418488
176,-2620,103179,103.179,1.711039066,0.958581388,66.93570709,-0.658476472,67.59418488
177,-2620,103806,103.806,1.711039066,0.958581388,66.93570709,-0.658476472,67.59418488
178,-2621,104200,104.2,1.711039066,0.958581388,66.93570709,-0.658476472,67.59418488
179,-2621,104827,104.827,1.711039066,0.958581388,66.93570709,-0.658476472,67.59418488
180,-2622,105221,105.221,1.711039066,0.958581388,66.93570709,-0.658476472,67.59418488
181,-2623,105848,105.848,1.711039066,0.958581388,66.93570709,-0.658476472,67.59418488
182,-2625,106474,106.474,1.711039066,0.958581388,66.93570709,-0.658476472,67.59418488
183,-2625,106868,106.868,1.711039066,0.958581388,66.93570709,-0.658476472,67.59418488
184,-2625,107495,107.495,1.711039066,0.958581388,66.93570709,-0.658476472,67.59418488
185,-2626,107889,107.889,1.711039066,0.958581388,66.93570709,-0.658476472,67.59418488
186,-2626,108516,108.516,1.711039066,0.958581388,66.93570709,-0.658476472,67.59418488
187,-2627,109143,109.143,1.711468577,1.076455832,66.89459991,0.073159106,66.82144165
188,-2627,109537,109.537,1.711468577,1.076455832,66.89459991,0.073159106,66.82144165
189,-2627,110163,110.163,1.703701735,1.061239719,66.95306396,-0.043534901,66.99659729
190,-2627,110557,110.557,1.703701735,1.061239719,66.95306396,-0.043534901,66.99659729
191,-2627,111184,111.184,1.703701735,1.061239719,66.95306396,-0.043534901,66.99659729
192,-2627,111578,111.578,1.703701735,1.061239719,66.95306396,-0.043534901,66.99659729
193,-2627,112205,112.205,1.703701735,1.061239719,66.95306396,-0.043534901,66.99659729
194,-2628,112832,112.832,1.703701735,1.061239719,66.95306396,-0.043534901,66.99659729
195,-2630,113226,113.226,1.703701735,1.061239719,66.95306396,-0.043534901,66.99659729
196,-2631,113853,113.853,1.703701735,1.061239719,66.95306396,-0.043534901,66.99659729
197,-2632,114247,114.247,1.703701735,1.061239719,66.95306396,-0.043534901,66.99659729
198,-2632,114873,114.873,1.703701735,1.061239719,66.95306396,-0.043534901,66.99659729
199,-2632,115500,115.5,1.703701735,1.061239719,66.95306396,-0.043534901,66.99659729
200,-2633,115894,115.894,1.703701735,1.061239719,66.95306396,-0.043534901,66.99659729
201,-2633,116521,116.521,1.703701735,1.061239719,66.95306396,-0.043534901,66.99659729
202,-2633,116915,116.915,1.703701735,1.061239719,66.95306396,-0.043534901,66.99659729
203,-2634,117542,117.542,1.703701735,1.061239719,66.95306396,-0.043534901,66.99659729
204,-2634,118169,118.169,1.703471661,1.003679037,66.95877075,-0.495199978,67.45397186
205,-2635,118563,118.563,1.703471661,1.003679037,66.95877075,-0.495199978,67.45397186
