Source_X,Source_Y,Sub 1 Thickness,Destination_Latitude,Destination_Longitude
217180.6,194219.4,45.683,3.3088001,162.6676994
217125.7,194647.7,41.955,3.3161000,162.6668003
217058.6,195146.4,37.892,3.3245999,162.6656999
217009.6,195574.7,39.611,3.3318994,162.6649004
216954.6,196008.9,40.432,3.3392998,162.6640001
216887.5,196507.6,43.437,3.3477998,162.6628999
216832.5,196935.9,44.004,3.3550997,162.6619994
216771.4,197434.6,37.899,3.3635993,162.6610004
216716.4,197868.8,45.396,3.3709998,162.6601003
216661.4,198297.1,38.402,3.3782997,162.6591999
216600.2,198795.8,40.926,3.3867994,162.6581995
216545.3,199224.1,42.048,3.3940994,162.6573008
216490.3,199652.4,35.046,3.4013994,162.6564006
216423.1,200157.0,43.955,3.4100000,162.6552995
216368.1,200585.3,37.105,3.4173000,162.6543993
216319.1,201013.6,40.238,3.4245996,162.6536004
216252.0,201512.3,33.953,3.4330998,162.6525007
200060.4,327984.2,26.375,5.5892003,162.3892997
200004.8,328412.3,26.391,5.5965001,162.3884007
199936.9,328910.8,26.179,5.6050008,162.3873004
199881.2,329338.9,26.492,5.6123007,162.3863998
199825.5,329772.8,24.938,5.6196994,162.3854998
199763.5,330271.3,25.661,5.6281995,162.3844995
199707.9,330699.4,25.413,5.6354994,162.3836006
199652.2,331127.5,25.668,5.6427993,162.3827001
199590.2,331626.0,26.451,5.6512994,162.3817000
199534.5,332054.1,26.583,5.6585993,162.3807995
199478.9,332482.3,26.490,5.6659010,162.3799008
199410.9,332986.6,25.573,5.6745006,162.3787998
199355.2,333414.7,25.717,5.6818005,162.3778994
199293.2,333913.2,26.034,5.6903007,162.3768995
199237.5,334341.3,24.916,5.6976007,162.3759992
199181.9,334769.3,25.078,5.7048990,162.3751006
199119.8,335273.7,24.219,5.7134997,162.3740997
199064.1,335701.8,24.401,5.7207998,162.3731995
199008.4,336129.9,24.661,5.7280998,162.3722993
198940.5,336628.4,24.813,5.7366006,162.3711997
198884.8,337056.5,24.218,5.7439007,162.3702996
198829.1,337484.6,24.189,5.7512007,162.3693996
198767.1,337988.9,24.783,5.7597998,162.3684005
198711.4,338417.0,25.310,5.7670999,162.3675006
198649.3,338915.5,25.297,5.7756002,162.3664993
198593.6,339343.6,25.472,5.7829003,162.3655994
198537.9,339771.7,25.717,5.7902004,162.3646995
198470.0,340270.1,25.989,5.7986996,162.3636002
198414.3,340704.1,26.265,5.8061003,162.3627010
198358.5,341132.2,26.290,5.8134005,162.3617995
198296.5,341630.7,26.995,5.8219008,162.3608002
198240.8,342058.8,26.902,5.8292010,162.3599004
198185.1,342486.8,26.953,5.8364994,162.3590007
198123.0,342985.3,27.027,5.8449998,162.3579998
198067.3,343413.4,27.202,5.8523000,162.3571002
197999.3,343917.7,27.613,5.8608999,162.3560001
197943.6,344345.8,27.563,5.8682001,162.3551005
197887.8,344773.9,27.819,5.8755003,162.3541993
197825.8,345272.3,27.887,5.8839990,162.3532002
197770.1,345700.4,27.860,5.8912993,162.3523008
197714.3,346128.5,27.895,5.8985995,162.3513996
197652.2,346632.9,28.140,5.9072006,162.3503996
197596.5,347060.9,28.214,5.9144991,162.3495002
197528.5,347559.4,28.248,5.9230002,162.3483998
197472.8,347987.5,28.499,5.9303005,162.3475005
197417.0,348415.6,28.679,5.9376008,162.3465995
197354.9,348919.9,28.560,5.9462002,162.3455997
197299.2,349348.0,29.276,5.9535005,162.3447005
197243.4,349776.1,29.179,5.9608008,162.3437996
197181.3,350274.5,29.239,5.9692997,162.3427993
197125.6,350702.6,29.314,5.9766000,162.3419001
197069.8,351130.7,29.174,5.9839004,162.3409993
197001.8,351635.0,29.519,5.9925004,162.3398998
196946.0,352063.1,29.513,5.9998008,162.3389991
196884.0,352561.5,29.619,6.0082997,162.3380007
196828.2,352989.6,29.779,6.0156001,162.3371000
196772.4,353417.7,30.212,6.0229005,162.3361994
196710.3,353916.1,30.988,6.0313995,162.3351993
196654.6,354344.2,30.593,6.0386999,162.3343005
196598.8,354778.2,31.136,6.0461008,162.3334005
196530.8,355276.6,32.061,6.0546004,162.3323007
196475.0,355704.7,30.875,6.0619009,162.3314002
196419.2,356132.7,30.771,6.0691997,162.3304997
196357.1,356631.2,30.357,6.0777004,162.3294999
196301.3,357059.3,29.868,6.0850008,162.3285995
196239.2,357563.6,29.650,6.0936004,162.3276004
196183.4,357991.7,29.801,6.1009009,162.3267001
