id,line_id,point_id,RMSh,RMSs,pc,pc_pn,pn,Elevation,Distance_m,D_km,lat,lon,Sub1_Thickness,Depth
43,0,43,1.465532303,0.525604904,69.04956055,-1.200219512,70.24977875,-2569,26399.10253,26.399,9.863494,156.624465,,
44,0,44,1.560701489,0.657537401,68.22711182,-1.241031528,69.46814728,-2572,27044.54713,27.045,9.855681,156.616652,,
45,0,45,1.560701489,0.657537401,68.22711182,-1.241031528,69.46814728,-2573,27689.99936,27.69,9.847868,156.608839,,
46,0,46,1.560701489,0.657537401,68.22711182,-1.241031528,69.46814728,-2573,28335.45923,28.335,9.840056,156.601027,,
47,0,47,1.560701489,0.657537401,68.22711182,-1.241031528,69.46814728,-2573,28675.17801,28.675,9.840056,156.593214,,
48,0,48,1.560701489,0.657537401,68.22711182,-1.241031528,69.46814728,-2574,29320.64951,29.321,9.832243,156.585401,,
49,0,49,1.560701489,0.657537401,68.22711182,-1.241031528,69.46814728,-2574,29966.12863,29.966,9.82443,156.577589,,
50,0,50,1.560701489,0.657537401,68.22711182,-1.241031528,69.46814728,-2577,30611.61536,30.612,9.816618,156.569776,,
51,0,51,1.560701489,0.657537401,68.22711182,-1.241031528,69.46814728,-2579,31257.1097,31.257,9.808805,156.561963,,
52,0,52,1.560701489,0.657537401,68.22711182,-1.241031528,69.46814728,-2582,31902.61164,31.903,9.800992,156.554151,,
53,0,53,1.560701489,0.657537401,68.22711182,-1.241031528,69.46814728,-2583,32548.12117,32.548,9.79318,156.546338,,
54,0,54,1.560701489,0.657537401,68.22711182,-1.241031528,69.46814728,-2584,33193.63829,33.194,9.785367,156.538525,,
55,0,55,1.560701489,0.657537401,68.22711182,-1.241031528,69.46814728,-2584,33839.16299,33.839,9.777554,156.530713,,
56,0,56,1.560701489,0.657537401,68.22711182,-1.241031528,69.46814728,-2585,34484.69527,34.485,9.769742,156.5229,,
57,0,57,1.560701489,0.657537401,68.22711182,-1.241031528,69.46814728,-2585,35130.23512,35.13,9.761929,156.515087,,
58,0,58,1.560701489,0.657537401,68.22711182,-1.241031528,69.46814728,-2585,35469.99597,35.47,9.761929,156.507275,,
59,0,59,1.637505054,0.836746752,67.57892609,-0.703567445,68.28249359,-2583,36115.54737,36.116,9.754116,156.499462,,
60,0,60,1.550853133,0.722493112,68.26777649,-0.549673557,68.81745148,-2582,36761.10632,36.761,9.746304,156.491649,,
61,0,61,1.550853133,0.722493112,68.26777649,-0.549673557,68.81745148,-2581,37406.67282,37.407,9.738491,156.483837,,
62,0,62,1.550853133,0.722493112,68.26777649,-0.549673557,68.81745148,-2581,38052.24686,38.052,9.730678,156.476024,,
63,0,63,1.550853133,0.722493112,68.26777649,-0.549673557,68.81745148,-2583,38697.82845,38.698,9.722866,156.468211,,
64,0,64,1.550853133,0.722493112,68.26777649,-0.549673557,68.81745148,-2583,39343.41756,39.343,9.715053,156.460399,,
65,0,65,1.550853133,0.722493112,68.26777649,-0.549673557,68.81745148,-2587,39989.01421,39.989,9.70724,156.452586,,
66,0,66,1.550853133,0.722493112,68.26777649,-0.549673557,68.81745148,-2584,40634.61837,40.635,9.699428,156.444773,,
67,0,67,1.550853133,0.722493112,68.26777649,-0.549673557,68.81745148,-2583,41280.23006,41.28,9.691615,156.436961,,
68,0,68,1.550853133,0.722493112,68.26777649,-0.549673557,68.81745148,-2582,41620.02869,41.62,9.691615,156.429148,,
69,0,69,1.550853133,0.722493112,68.26777649,-0.549673557,68.81745148,-2579,42265.65184,42.266,9.683802,156.421335,,
70,0,70,1.550853133,0.722493112,68.26777649,-0.549673557,68.81745148,-2577,42911.28248,42.911,9.67599,156.413523,,
71,0,71,1.550853133,0.722493112,68.26777649,-0.549673557,68.81745148,-2577,43556.92062,43.557,9.668177,156.40571,,
72,0,72,1.550853133,0.722493112,68.26777649,-0.549673557,68.81745148,-2578,44202.56625,44.203,9.660364,156.397897,,
73,0,73,1.550853133,0.722493112,68.26777649,-0.549673557,68.81745148,-2580,44848.21936,44.848,9.652552,156.390085,,
74,0,74,1.661620259,0.871706665,67.35879517,-0.693831742,68.05262756,-2583,45493.87995,45.494,9.644739,156.382272,,
75,0,75,1.661620259,0.871706665,67.35879517,-0.693831742,68.05262756,-2583,46139.54801,46.14,9.636926,156.374459,,
76,0,76,1.608740449,0.828641832,67.71739197,-0.459007442,68.17639923,-2582,46785.22354,46.785,9.629113,156.366647,,
77,0,77,1.608740449,0.828641832,67.71739197,-0.459007442,68.17639923,-2586,47430.90653,47.431,9.621301,156.358834,,
78,0,78,1.608740449,0.828641832,67.71739197,-0.459007442,68.17639923,-2586,47770.74267,47.771,9.621301,156.351021,,
79,0,79,1.608740449,0.828641832,67.71739197,-0.459007442,68.17639923,-2582,48416.43704,48.416,9.613488,156.343209,,
80,0,80,1.608740449,0.828641832,67.71739197,-0.459007442,68.17639923,-2583,49062.13885,49.062,9.605675,156.335396,,
81,0,81,1.608740449,0.828641832,67.71739197,-0.459007442,68.17639923,-2583,49707.8481,49.708,9.597863,156.327583,,
82,0,82,1.608740449,0.828641832,67.71739197,-0.459007442,68.17639923,-2585,50353.56479,50.354,9.59005,156.319771,,
83,0,83,1.608740449,0.828641832,67.71739197,-0.459007442,68.17639923,-2581,50999.2889,50.999,9.582237,156.311958,,
84,0,84,1.608740449,0.828641832,67.71739197,-0.459007442,68.17639923,-2581,51645.02044,51.645,9.574425,156.304145,,
85,0,85,1.608740449,0.828641832,67.71739197,-0.459007442,68.17639923,-2580,52290.7594,52.291,9.566612,156.296333,,
86,0,86,1.608740449,0.828641832,67.71739197,-0.459007442,68.17639923,-2580,52936.50576,52.937,9.558799,156.28852,,
87,0,87,1.608740449,0.828641832,67.71739197,-0.459007442,68.17639923,-2582,53582.25954,53.582,9.550987,156.280707,,
88,0,88,1.608740449,0.828641832,67.71739197,-0.459007442,68.17639923,-2581,54228.02071,54.228,9.543174,156.272895,,
