id,line_id,point_id,RMSh,RMSs,pc,pc_pn,pn,Elevation,D_m,D_km,lat,lon,Sub1_Thickness,depth
44,0,44,1.71266222,1.028329611,66.97431183,0.419262707,66.55504608,-2568,21580.18128,21.58,9.191604,155.265061,,
45,0,45,1.71266222,1.028329611,66.97431183,0.419262707,66.55504608,-2567,22007.05482,22.007,9.183791,155.265061,,
46,0,46,1.71266222,1.028329611,66.97431183,0.419262707,66.55504608,-2565,22599.28118,22.599,9.175979,155.272873,,
47,0,47,1.71266222,1.028329611,66.97431183,0.419262707,66.55504608,-2565,23026.15665,23.026,9.168166,155.272873,,
48,0,48,1.692779541,0.902486265,67.16319275,-0.304549396,67.46773529,-2565,23618.38568,23.618,9.160353,155.280686,,
49,0,49,1.692779541,0.902486265,67.16319275,-0.304549396,67.46773529,-2565,24045.26307,24.045,9.152541,155.280686,,
50,0,50,1.692779541,0.902486265,67.16319275,-0.304549396,67.46773529,-2564,24472.14126,24.472,9.144728,155.280686,,
51,0,51,1.692779541,0.902486265,67.16319275,-0.304549396,67.46773529,-2563,25064.37408,25.064,9.136915,155.288499,,
52,0,52,1.692779541,0.902486265,67.16319275,-0.304549396,67.46773529,-2563,25491.25419,25.491,9.129103,155.288499,,
53,0,53,1.692779541,0.902486265,67.16319275,-0.304549396,67.46773529,-2563,26083.48966,26.083,9.12129,155.296311,,
54,0,54,1.692779541,0.902486265,67.16319275,-0.304549396,67.46773529,-2563,26510.37169,26.51,9.113477,155.296311,,
55,0,55,1.692779541,0.902486265,67.16319275,-0.304549396,67.46773529,-2564,26937.25452,26.937,9.105665,155.296311,,
56,0,56,1.692779541,0.902486265,67.16319275,-0.304549396,67.46773529,-2564,27529.49376,27.529,9.097852,155.304124,,
57,0,57,1.692779541,0.902486265,67.16319275,-0.304549396,67.46773529,-2566,27956.37849,27.956,9.090039,155.304124,,
58,0,58,1.692779541,0.902486265,67.16319275,-0.304549396,67.46773529,-2567,28383.26403,28.383,9.082227,155.304124,,
59,0,59,1.692779541,0.902486265,67.16319275,-0.304549396,67.46773529,-2568,28975.50703,28.976,9.074414,155.311937,,
60,0,60,1.692779541,0.902486265,67.16319275,-0.304549396,67.46773529,-2569,29402.39447,29.402,9.066601,155.311937,,
61,0,61,1.692779541,0.902486265,67.16319275,-0.304549396,67.46773529,-2568,29994.64011,29.995,9.058789,155.319749,,
62,0,62,1.692779541,0.902486265,67.16319275,-0.304549396,67.46773529,-2570,30421.52945,30.422,9.050976,155.319749,,
63,0,63,1.67891705,0.877707124,67.28397369,-0.369601041,67.65357208,-2570,30848.41959,30.848,9.043163,155.319749,,
64,0,64,1.67891705,0.877707124,67.28397369,-0.369601041,67.65357208,-2568,31440.66897,31.441,9.035351,155.327562,,
65,0,65,1.67891705,0.877707124,67.28397369,-0.369601041,67.65357208,-2567,31867.56101,31.868,9.027538,155.327562,,
66,0,66,1.67891705,0.877707124,67.28397369,-0.369601041,67.65357208,-2566,32459.81302,32.46,9.019725,155.335375,,
