Name,mean_Pc,mean_Pn,mean_Mu,mean_RMSh,mean_RMSs,std_Pc,std_Pn,std_Mu,std_RMSh,std_RMSs
Channeled Ropey,67.20919213607135,67.85644452718229,2.1890355935948063,1.6798315968843134,0.8549445114046367,2.8159657782318943,2.7687759344525644,2.7032673167047205,0.2813453599108979,0.393272957373518
Rough Lobate Pitted,69.14407519604927,69.05894050805094,4.472953575357058,1.4759645908587504,0.6955960815784937,2.7599723760276187,3.8379836902727775,3.9357523399337686,0.3065517667536501,0.5640954882203966
Rough Polygonal,69.28234179991429,69.22550467904792,2.909340928560333,1.4256380520215517,0.6412683092251641,3.478943467423827,3.934987041181881,3.402800695960024,0.4481217506311549,0.5998462668614624
Rough Undifferentiated,66.35285747409513,66.38246654477456,2.8918769112148746,1.764466363110302,1.1067367764570084,2.642417941157522,3.394744878428489,3.2024955384758718,0.25440663628442434,0.5927091199299992
Smooth Lobate Pitted,71.53303525471348,65.82581959109423,4.273121963754651,1.0987459192696942,0.5938737701242105,4.228671589896107,4.98796754336437,4.030481760234083,0.5424348518367569,0.5869830875105285
Smooth Undifferentiated,71.53303525471348,65.82581959109423,4.273121963754651,1.0987459192696942,0.5938737701242105,4.228671589896107,4.98796754336437,4.030481760234083,0.5424348518367569,0.5869830875105285
Lava Plates,71.0066242903353,67.51441599596511,4.601751673935787,1.2391855285079927,0.6530252290205476,2.662677672446887,3.4335436889304405,4.07385379956243,0.36457265539278744,0.4440707735900172
Platy Continuum,69.8224922220027,66.87730531351905,4.776913535815341,1.3675511570626038,0.7979042243782223,3.603496192927608,3.865918769162127,4.081159809780742,0.42815368513841606,0.5697907126796117
Platy Undifferentiated,70.5667302928444,66.65829105483505,4.768847074487976,1.276240534118048,0.7934257980353285,3.3919749044928404,4.049419049149461,4.1601378099457875,0.4333641604462496,0.5839649710023604
Furrowed Undifferentiated,67.51123368224698,69.20616214749738,3.1063839673192724,1.6543690008053158,0.6777907758146078,2.573636680284695,1.9246644940326105,3.1491556424526084,0.2631056324538196,0.19403609411757855
Furrowed Irregular,68.71753012114357,67.39612709833492,5.237712003059254,1.5150997621791353,0.8273867213472356,3.0814140528282414,3.4163008529341776,4.2437953391463115,0.3404895757234383,0.4401043831275096
Craters and Proximal Ejecta,62.23666001340062,57.11824086370471,2.5003179016475507,2.1125974257428766,4.308187367203962,2.6966817077347494,6.49153000078136,2.604442539357999,0.22597769483506577,2.9748392468891365
"Knobs, Mesas & Intervening Material",62.712621512490905,59.377570273148834,2.802740689456295,2.0633022643920245,3.590287047868306,3.519164454637891,7.55932947638332,3.1202764790866633,0.31922174700933237,2.847997456022128
Lava Blisters,67.42030768828143,67.89560588120625,4.576937416338227,1.6485059147497478,0.8668363613454851,3.2448335607818506,3.63348101665426,4.145233859737513,0.3377559856673059,0.5370889163018668
VRC Groups,68.12648073765132,69.2377841471848,3.530769406206383,1.590800618850439,0.6819788376524113,2.5156946766770063,3.0243352625143087,3.6570170924822816,0.2675795552795854,0.38074865841678945
Cerberus Plains,69.0670335747305,67.25654009178368,4.134675395362883,1.4435433117374659,0.833033821019687,3.887913413199244,3.9049055072877565,3.9610293312698706,0.4658141960183827,0.6968479396071486
Cerberus Tholi,68.59191296543368,66.56831192825169,3.951834373094505,1.4921939984415398,0.9475974559669514,3.888124445116505,4.015590930745877,3.920298087280746,0.4789242062687157,0.773611267358972
Elysium Shield,64.98683585230987,63.6912141009987,2.3352584292335092,1.894997981693868,1.5978868162043847,1.9189037529426165,3.2032899077016634,2.635556435694762,0.17454385363103392,0.7027469824104375
Transitional Unit,66.8023799995975,66.67584030147879,2.8605820121017067,1.7137651311851,1.0443322029559807,2.919640247892217,3.4986325309711517,3.3004870021859563,0.3092138502291841,0.6570501689409699
"Yardangs, Grooves & Scarps",64.4784950810806,61.60053930017037,2.8849762497089753,1.931543314131551,2.3198105637296207,2.6006234553856613,5.259288520954056,3.1109563720795275,0.23634453223334295,1.5139486810277185
