id,point_id,Elevation,dist_m,dist_km,Sub_1_Thic,Depth,RMSh
1642,1642,-2783,819389.8628,819.3898628,,,0.764160395
1643,1643,-2784,819844.965,819.844965,,,0.764160395
1644,1644,-2785,820300.0662,820.3000662,,,0.764160395
1645,1645,-2785,820755.1665,820.7551665,,,0.764160395
1646,1646,-2785,821281.5873,821.2815873,,,0.764160395
1647,1647,-2786,821736.6856,821.7366856,,,0.764160395
1648,1648,-2786,822191.7829,822.1917829,,,0.764160395
1649,1649,-2787,822646.8793,822.6468793,,,0.764160395
1650,1650,-2787,823101.9748,823.1019748,,,0.764160395
1651,1651,-2787,823557.0693,823.5570693,,,0.764160395
1652,1652,-2787,824012.1629,824.0121629,,,0.764160395
1653,1653,-2788,824538.576,824.538576,,,0.764160395
1654,1654,-2788,824993.6675,824.9936675,,,0.764160395
1655,1655,-2788,825448.7581,825.4487581,,,0.764160395
1656,1656,-2788,825903.8478,825.9038478,,,0.764160395
1657,1657,-2788,826358.9366,826.3589366,,,0.764160395
1658,1658,-2788,826814.0244,826.8140244,,,0.764160395
1659,1659,-2789,827340.4307,827.3404307,,,0.764160395
1660,1660,-2789,827795.5165,827.7955165,,,0.764160395
1661,1661,-2789,828250.6013,828.2506013,,,0.764160395
1662,1662,-2789,828705.6852,828.7056852,,,0.764160395
1663,1663,-2789,829160.7682,829.1607682,,,0.764160395
1664,1664,-2789,829615.8502,829.6158502,,,0.764160395
1665,1665,-2789,830070.9313,830.0709313,,,0.764160395
1666,1666,-2789,830597.3298,830.5973298,,,0.764160395
1667,1667,-2790,831052.4089,831.0524089,,,0.764160395
1668,1668,-2790,831507.487,831.507487,,,1.22159481
1669,1669,-2790,831962.5641,831.9625641,,,1.22159481
1670,1670,-2790,832417.6403,832.4176403,,,1.22159481
1671,1671,-2791,832872.7156,832.8727156,,,1.22159481
1672,1672,-2791,833399.1074,833.3991074,,,1.22159481
1673,1673,-2791,833854.1807,833.8541807,,,1.22159481
1674,1674,-2791,834309.253,834.309253,,,1.22159481
1675,1675,-2791,834764.3243,834.7643243,,,1.22159481
1676,1676,-2792,835219.3947,835.2193947,74.589,-2866.589,1.22159481
1677,1677,-2792,835674.4642,835.6744642,73.283,-2865.283,1.22159481
1678,1678,-2793,836200.8493,836.2008493,74.589,-2867.589,1.22159481
1679,1679,-2793,836655.9167,836.6559167,74.589,-2867.589,1.22159481
1680,1680,-2794,837110.9832,837.1109832,74.589,-2868.589,1.22159481
1681,1681,-2794,837566.0487,837.5660487,74.589,-2868.589,1.23480165
1682,1682,-2794,838021.1133,838.0211133,74.589,-2868.589,1.23480165
1683,1683,-2794,838476.1769,838.4761769,74.589,-2868.589,1.23480165
1684,1684,-2794,838931.2396,838.9312396,74.589,-2868.589,1.23480165
1685,1685,-2795,839457.6169,839.4576169,74.589,-2869.589,1.23480165
1686,1686,-2795,839912.6776,839.9126776,74.589,-2869.589,1.23480165
1687,1687,-2795,840367.7373,840.3677373,74.589,-2869.589,1.23480165
1688,1688,-2796,840822.7961,840.8227961,74.589,-2870.589,1.23480165
1689,1689,-2797,841277.8539,841.2778539,74.589,-2871.589,1.23480165
1690,1690,-2797,841732.9107,841.7329107,74.589,-2871.589,1.23480165
1691,1691,-2798,842259.2813,842.2592813,,,1.23480165
1692,1692,-2799,842714.3361,842.7143361,,,1.23480165
1693,1693,-2799,843169.39,843.16939,,,1.23480165
1694,1694,-2798,843624.4429,843.6244429,,,1.034678102
1695,1695,-2797,844079.4949,844.0794949,,,1.034678102
1696,1696,-2795,844534.5459,844.5345459,,,1.034678102
1697,1697,-2795,844989.596,844.989596,,,1.034678102
1698,1698,-2793,845515.9587,845.5159587,,,1.034678102
1699,1699,-2793,845971.0068,845.9710068,,,1.034678102
1700,1700,-2793,846426.0539,846.4260539,,,1.034678102
1701,1701,-2792,846881.1,846.8811,,,1.034678102
1702,1702,-2791,847336.1452,847.3361452,,,1.034678102
1703,1703,-2790,847791.1894,847.7911894,,,1.034678102
1704,1704,-2789,848317.5454,848.3175454,,,1.034678102
1705,1705,-2788,848772.5875,848.7725875,,,1.034678102
1706,1706,-2789,849227.6288,849.2276288,,,0.742630422
1707,1707,-2790,849682.6691,849.6826691,,,0.742630422
1708,1708,-2790,850137.7084,850.1377084,,,0.742630422
1709,1709,-2790,850592.7468,850.5927468,,,0.742630422
1710,1710,-2791,851047.7842,851.0477842,,,0.742630422
1711,1711,-2790,851574.1323,851.5741323,,,0.742630422
1712,1712,-2791,852029.1677,852.0291677,,,0.742630422
1713,1713,-2791,852484.2021,852.4842021,,,0.742630422
1714,1714,-2791,852939.2356,852.9392356,,,0.742630422
1715,1715,-2792,853394.2681,853.3942681,,,0.742630422
1716,1716,-2793,853849.2997,853.8492997,,,0.742630422
1717,1717,-2792,854375.641,854.375641,,,0.742630422
1718,1718,-2793,854830.6705,854.8306705,,,0.742630422
1719,1719,-2793,855285.699,855.285699,,,1.395159602
1720,1720,-2793,855740.7266,855.7407266,,,1.395159602
1721,1721,-2793,856195.7533,856.1957533,,,1.395159602
1722,1722,-2794,856650.779,856.650779,29.502,-2823.502,1.395159602
1723,1723,-2794,857105.8037,857.1058037,29.502,-2823.502,1.395159602
1724,1724,-2794,857632.1371,857.6321371,29.732,-2823.732,1.440914631
1725,1725,-2794,858087.1598,858.0871598,29.732,-2823.732,1.440914631
1726,1726,-2794,858542.1815,858.5421815,29.502,-2823.502,1.440914631
1727,1727,-2793,858997.2023,858.9972023,29.502,-2822.502,1.440914631
1728,1728,-2793,859452.2221,859.4522221,29.502,-2822.502,1.440914631
1729,1729,-2793,859907.241,859.907241,29.502,-2822.502,1.440914631
1730,1730,-2793,860433.5676,860.4335676,29.732,-2822.732,1.440914631
1731,1731,-2793,860888.5844,860.8885844,29.732,-2822.732,1.440914631
1732,1732,-2794,861343.6002,861.3436002,24.738,-2818.738,1.335763574
1733,1733,-2795,861920.3697,861.9203697,24.738,-2819.738,1.335763574
1734,1734,-2795,861920.3697,861.9203697,24.738,-2819.738,1.335763574
1735,1735,-2795,862559.2862,862.5592862,24.983,-2819.983,1.335763574
1736,1736,-2796,862938.9043,862.9389043,24.983,-2820.983,1.335763574
1737,1737,-2796,863577.8283,863.5778283,26.044,-2822.044,1.110299349
1738,1738,-2796,864216.7571,864.2167571,30.2,-2826.2,1.110299349
1739,1739,-2797,864596.3825,864.5963825,28.14,-2825.14,1.110299349
1740,1740,-2797,865235.3187,865.2353187,27.81,-2824.81,1.110299349
1741,1741,-2798,865874.2597,865.8742597,28.067,-2826.067,1.110299349
1742,1742,-2798,866253.8924,866.2538924,28.067,-2826.067,1.110299349
1743,1743,-2799,866892.8408,866.8928408,29.099,-2828.099,1.110299349
1744,1744,-2799,867531.7938,867.5317938,28.529,-2827.529,1.110299349
1745,1745,-2800,868170.7516,868.1707516,28.51,-2828.51,1.110299349
