id,Elevation,dist_m,dist_km,RMSh,RMSs,pc_pn,pc,pn
63,-2570,30848,30.848,1.67891705,0.877707124,-0.369601041,67.28397369,67.65357208
64,-2568,31440,31.44,1.67891705,0.877707124,-0.369601041,67.28397369,67.65357208
65,-2567,31867,31.867,1.67891705,0.877707124,-0.369601041,67.28397369,67.65357208
66,-2566,32459,32.459,1.67891705,0.877707124,-0.369601041,67.28397369,67.65357208
67,-2566,32886,32.886,1.67891705,0.877707124,-0.369601041,67.28397369,67.65357208
68,-2562,33313,33.313,1.67891705,0.877707124,-0.369601041,67.28397369,67.65357208
69,-2566,33905,33.905,1.698155403,0.932427764,-0.673987091,67.03831482,67.71230316
70,-2566,34332,34.332,1.698155403,0.932427764,-0.673987091,67.03831482,67.71230316
71,-2572,34759,34.759,1.698155403,0.932427764,-0.673987091,67.03831482,67.71230316
72,-2575,35351,35.351,1.698155403,0.932427764,-0.673987091,67.03831482,67.71230316
73,-2578,35778,35.778,1.698155403,0.932427764,-0.673987091,67.03831482,67.71230316
74,-2586,36371,36.371,1.698155403,0.932427764,-0.673987091,67.03831482,67.71230316
75,-2592,36797,36.797,1.698155403,0.932427764,-0.673987091,67.03831482,67.71230316
76,-2598,37224,37.224,1.698155403,0.932427764,-0.673987091,67.03831482,67.71230316
77,-2610,37817,37.817,1.698155403,0.932427764,-0.673987091,67.03831482,67.71230316
78,-2616,38244,38.244,1.703471661,1.003679037,-0.495199978,66.95877075,67.45397186
79,-2620,38836,38.836,1.703471661,1.003679037,-0.495199978,66.95877075,67.45397186
80,-2628,39263,39.263,1.703471661,1.003679037,-0.495199978,66.95877075,67.45397186
81,-2632,39690,39.69,1.703471661,1.003679037,-0.495199978,66.95877075,67.45397186
82,-2635,40282,40.282,1.703471661,1.003679037,-0.495199978,66.95877075,67.45397186
83,-2636,40709,40.709,1.703471661,1.003679037,-0.495199978,66.95877075,67.45397186
84,-2636,41301,41.301,1.703471661,1.003679037,-0.495199978,66.95877075,67.45397186
85,-2636,41728,41.728,1.703471661,1.003679037,-0.495199978,66.95877075,67.45397186
86,-2636,42155,42.155,1.703471661,1.003679037,-0.495199978,66.95877075,67.45397186
87,-2636,42747,42.747,1.703471661,1.003679037,-0.495199978,66.95877075,67.45397186
88,-2636,43174,43.174,1.703471661,1.003679037,-0.495199978,66.95877075,67.45397186
89,-2635,43601,43.601,1.703471661,1.003679037,-0.495199978,66.95877075,67.45397186
90,-2635,44193,44.193,1.703471661,1.003679037,-0.495199978,66.95877075,67.45397186
91,-2634,44620,44.62,1.703471661,1.003679037,-0.495199978,66.95877075,67.45397186
92,-2633,45212,45.212,1.698421836,1.070922852,-0.101999886,66.98719788,67.08920288
93,-2631,45639,45.639,1.698421836,1.070922852,-0.101999886,66.98719788,67.08920288
94,-2628,46066,46.066,1.698421836,1.070922852,-0.101999886,66.98719788,67.08920288
95,-2624,46659,46.659,1.698421836,1.070922852,-0.101999886,66.98719788,67.08920288
96,-2619,47086,47.086,1.698421836,1.070922852,-0.101999886,66.98719788,67.08920288
97,-2620,47678,47.678,1.698421836,1.070922852,-0.101999886,66.98719788,67.08920288
98,-2599,48105,48.105,1.698421836,1.070922852,-0.101999886,66.98719788,67.08920288
99,-2583,48532,48.532,1.698421836,1.070922852,-0.101999886,66.98719788,67.08920288
100,-2562,49124,49.124,1.698421836,1.070922852,-0.101999886,66.98719788,67.08920288
101,-2558,49551,49.551,1.698421836,1.070922852,-0.101999886,66.98719788,67.08920288
102,-2553,49978,49.978,1.698421836,1.070922852,-0.101999886,66.98719788,67.08920288
103,-2544,50570,50.57,1.698421836,1.070922852,-0.101999886,66.98719788,67.08920288
104,-2536,50997,50.997,1.698421836,1.070922852,-0.101999886,66.98719788,67.08920288
105,-2534,51589,51.589,1.698421836,1.070922852,-0.101999886,66.98719788,67.08920288
106,-2534,52016,52.016,1.698421836,1.070922852,-0.101999886,66.98719788,67.08920288
107,-2535,52443,52.443,1.738449931,1.171466947,-0.036269937,66.56278229,66.59905243
108,-2535,53035,53.035,1.73765409,1.1622051,0.074121736,66.58739471,66.51327515
109,-2535,53462,53.462,1.73765409,1.1622051,0.074121736,66.58739471,66.51327515
110,-2536,54055,54.055,1.73765409,1.1622051,0.074121736,66.58739471,66.51327515
111,-2535,54482,54.482,1.73765409,1.1622051,0.074121736,66.58739471,66.51327515
112,-2533,54909,54.909,1.73765409,1.1622051,0.074121736,66.58739471,66.51327515
113,-2532,55501,55.501,1.73765409,1.1622051,0.074121736,66.58739471,66.51327515
114,-2527,55928,55.928,1.73765409,1.1622051,0.074121736,66.58739471,66.51327515
115,-2527,56520,56.52,1.73765409,1.1622051,0.074121736,66.58739471,66.51327515
116,-2522,56947,56.947,1.73765409,1.1622051,0.074121736,66.58739471,66.51327515
117,-2526,57374,57.374,1.73765409,1.1622051,0.074121736,66.58739471,66.51327515
118,-2543,57966,57.966,1.73765409,1.1622051,0.074121736,66.58739471,66.51327515
119,-2550,58393,58.393,1.73765409,1.1622051,0.074121736,66.58739471,66.51327515
120,-2560,58820,58.82,1.73765409,1.1622051,0.074121736,66.58739471,66.51327515
121,-2574,59413,59.413,1.73765409,1.1622051,0.074121736,66.58739471,66.51327515
